FuntionalGroup	SMARTS
Alkane	[CX4;$([H3][#6]),$([H2]([#6])[#6]),$([H1]([#6])([#6])[#6]),$([#6]([#6])([#6])([#6])[#6])]
AlkanePrimary	[CX4H3][#6]
AlkaneSecondary	[CX4H2]([#6])[#6]
AlkaneTertiary	[CX4H1]([#6])([#6])[#6]
Alkene	[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]=[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]
Alkyne	[CX2]#[CX2]
Allene	[CX3]=[CX2]=[CX3]
Aniline	[c][NX3H2]
Benzenering	c1ccccc1
Carbazole	c1c3c(ccc1)c2ccccc2n3-[$([#1]),$([#6])]
Iminoarene	[*;r6]=[NX2]
Oxoarene	[*;r6]=[O]
Phenol	[c][OX2H]
Thioarene	[*;r6]=[S]
Amidine	[NX3][C]=[NX2]
Amine	[NX3,NX3+0,NX4+;!$([N]~[#7,#8,#15,#16])]
AminePrimary	[NX3H2,NX3H2+0,NX4H3+;!$([N]~[#7,#8,#15,#16])]
AmineSecondary	[NX3H1,NX3H1+0,NX4H2+;!$([N]~[#7,#8,#15,#16])]
AmineTertiary	[NX3H0,NX3H0+0,NX4H1+;!$([N]~[#7,#8,#15,#16])]
Ammonia	[NH3]
Aminal	[NX3v3;!$(NC=[#7,#8,#15,#16])]~[CX4;!$(C(N)(N)[!#6])]~[NX3v3;!$(NC=[#7,#8,#15,#16])]
Aziridine	C1CN1
Azide	[NX1]~[NX2]~[NX2,NX1]
Azo	[#6]-[#7]=[#7]-[#6]
Diazo	[$([#6]=[N+]=[N-]),$([#6-]-[N+]#[N])]
Carbodiimide	[NX2]=[CX2]=[NX2]
Enamine	[NX3;!$(NC~[!#1!#6])][CX3]=[CX3]
Guanidine	[N;v3X3,v4X4+][CX3](=[N;v3X2,v4X3+])[N;v3X3,v4X4+]
Hydrazine	[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])][NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])]
Hydrazone	[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])][NX2]=[#6]
Iminyl	[NX2;$([N][#6]),$([NH]);!$([N][CX3]=[#7,#8,#15,#16])]=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])]
Aldimine	[NX2;$([H1]),$([H0][#6])]=[CX3;$([H2]),$([H1])]
AldimineSecondary	[NX2;$([H0][#6])]=[CX3;$([H2]),$([H1])]
ketimine	[NX2;$([H1]),$([H0][#6])]=[CX3;$([H0][#6])]
ketiminePrimary	[NX2;$([H1])]=[CX3;$([H0][#6])]
ketimineSecondary	[NX2;$([H0][#6])]=[CX3;$([H0][#6])]
Isocyanide	[N+]#[C-]
Nitrile	[NX1]#[CX2]
